79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(1)	EQ:	neidenbach	neidenbach	50.100000	6.550000	0.000000km	2866611
(1)	EQ:	falkenfels	falkenfels	49.004150	12.594800	0.000000km	2927984
(3)	EQ:	bottendorf	bottendorf	52.764810	10.587040	0.000000km	2945776
(3)	EQ:	bottendorf	bottendorf	51.304880	11.402850	171.817156km	2945777
(3)	EQ:	bottendorf	bottendorf	51.027510	8.812570	228.644415km	2945778
(1)	EQ:	wustermark	wustermark	52.550000	12.950000	0.000000km	2805480
(1)	EQ:	gusenburg	gusenburg	49.633330	6.900000	0.000000km	2913478
(1)	EQ:	ederheim	ederheim	48.808270	10.466090	0.000000km	2933385
(1)	EQ:	grossbettlingen	grossbettlingen	48.590520	9.307820	0.000000km	2916972
(0)	No match: mulheim (moselle)
(0)	No match: frickenhausen am main
(1)	EQ:	dolgesheim	dolgesheim	49.794440	8.256940	0.000000km	2936403
(1)	EQ:	grabenstetten	grabenstetten	48.523970	9.461550	0.000000km	2918431
(1)	EQ:	kleinmachnow	kleinmachnow	52.407860	13.225140	0.000000km	2888523
(1)	EQ:	bodman-ludwigshafen	bodman-ludwigshafen	47.818170	9.055400	0.000000km	3205645
(1)	EQ:	bad berka	bad berka	50.899820	11.282450	0.000000km	2953548
(3)	EQ:	franken	franken	50.501240	7.234610	0.000000km	2925655
(3)	EQ:	franken	franken	50.091180	11.923680	337.156970km	2925656
(3)	EQ:	franken	franken	48.769070	12.373850	418.125955km	2925657
(1)	EQ:	walluf	walluf	50.040030	8.155450	0.000000km	3208134
(1)	EQ:	fintel	fintel	53.171880	9.669690	0.000000km	2926667
(1)	EQ:	hopferau	hopferau	47.616670	10.633330	0.000000km	2899202
(1)	EQ:	stamsried	stamsried	49.267550	12.530510	0.000000km	2829569
(3)	EQ:	schwenningen	schwenningen	48.932480	10.107380	0.000000km	2834311
(3)	EQ:	schwenningen	schwenningen	48.650000	10.650000	50.758319km	2834312
(3)	EQ:	schwenningen	schwenningen	48.100000	9.000000	123.539094km	2834313
(0)	No match: keltern
(3)	EQ:	zandt	zandt	49.241210	10.658460	0.000000km	2805263
(3)	EQ:	zandt	zandt	49.150000	12.733330	151.561562km	2805264
(3)	EQ:	zandt	zandt	48.926080	11.495060	70.448081km	2805265
(3)	EQ:	hammersbach	hammersbach	50.216670	8.983330	0.000000km	2911099
(3)	EQ:	hammersbach	hammersbach	48.367330	12.732500	341.517032km	2911100
(3)	EQ:	hammersbach	hammersbach	47.467010	11.048090	341.246180km	2911101
(1)	EQ:	erkner	erkner	52.420000	13.754370	0.000000km	2929602
(1)	EQ:	betzigau	betzigau	47.733330	10.383330	0.000000km	2949646
(1)	EQ:	hohentengen am hochrhein	hohentengen am hochrhein	47.570050	8.432500	0.000000km	2901406
(1)	EQ:	rangendingen	rangendingen	48.381680	8.889400	0.000000km	2850496
(1)	EQ:	stubenberg	stubenberg	48.316670	13.083330	0.000000km	2825519
(1)	EQ:	ottobrunn	ottobrunn	48.064890	11.663270	0.000000km	2855935
(5)	EQ:	attenhofen	attenhofen	49.056940	11.390330	0.000000km	2954914
(5)	EQ:	attenhofen	attenhofen	48.871630	10.121330	95.177940km	2954915
(5)	EQ:	attenhofen	attenhofen	48.650720	11.848500	56.313583km	2954916
(5)	EQ:	attenhofen	attenhofen	48.326130	10.159610	121.712160km	2954917
(5)	EQ:	attenhofen	attenhofen	48.216500	9.490040	168.367429km	2954918
(1)	EQ:	schlangen	schlangen	51.809780	8.846050	0.000000km	2838922
(4)	EQ:	glinde	glinde	54.216670	10.266670	0.000000km	2919879
(4)	EQ:	glinde	glinde	53.544100	10.200480	74.985343km	2919880
(4)	EQ:	glinde	glinde	53.496180	9.092210	111.366369km	2919881
(4)	EQ:	glinde	glinde	52.009180	11.850810	267.573912km	2919882
(4)	EQ:	dannenberg	dannenberg	53.150550	8.991580	0.000000km	2938990
(4)	EQ:	dannenberg	dannenberg	53.096700	11.090010	140.602748km	2938991
(4)	EQ:	dannenberg	dannenberg	52.772810	13.956760	336.211476km	2938992
(4)	EQ:	dannenberg	dannenberg	51.075060	7.598930	249.856647km	2938993
(1)	EQ:	floss	floss	49.723950	12.275930	0.000000km	2926119
(1)	EQ:	pilsach	pilsach	49.321370	11.503110	0.000000km	2853700
(1)	EQ:	espenhain	espenhain	51.189260	12.478850	0.000000km	2928862
(9)	EQ:	hochberg	hochberg	49.784460	9.882230	0.000000km	2903327
(9)	EQ:	hochberg	hochberg	48.887130	9.279840	108.977660km	2903328
(9)	EQ:	hochberg	hochberg	48.697900	9.810040	120.955387km	2903329
(9)	EQ:	hochberg	hochberg	48.224870	9.424600	176.643028km	2903330
(9)	EQ:	hochberg	hochberg	48.149310	9.240020	187.822941km	2903331
