79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(7)<0>	EQ:	mulheim (moselle)	P	muelheim	51.432180	6.879670	0.000000km	2867838
(7)<0>	EQ:	mulheim (moselle)	P	muelheim	51.492800	8.286400	97.995060km	2867840
(7)<0>	EQ:	mulheim (moselle)	P	muelheim	50.713440	6.738810	80.566716km	2867841
(7)<0>	EQ:	mulheim (moselle)	P	muelheim	50.448870	6.683060	110.259728km	2867842
(7)<0>	EQ:	mulheim (moselle)	P	muelheim	50.383330	7.500000	124.570773km	2867843
(7)<0>	EQ:	mulheim (moselle)	P	muelheim	49.912520	7.019490	169.338602km	2867844
(7)<0>	EQ:	mulheim (moselle)	P	muelheim	50.966390	7.003840	52.541864km	8593865
(4)<1>	EQ:	frickenhausen am main	A	frickenhausen	48.593500	9.359710	211.073359km	6555419
(1)<0>	EQ:	samtgemeinde meinersen	P	meinersen	52.474360	10.352470	0.000000km	2872244
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	53.750000	9.150000	0.000000km	2859600
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	50.996040	11.481570	345.097587km	2859601
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	50.958710	8.295860	315.996640km	2859602
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	50.900560	8.669900	318.750099km	2859603
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	50.888130	11.893870	369.281599km	2859604
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	50.821420	10.975120	348.830167km	2859605
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	50.748700	8.411800	337.739567km	2859606
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	50.702270	9.120220	339.131835km	2859607
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	50.527830	8.412690	362.061316km	2859608
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	50.188840	9.473390	396.860098km	2859609
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	50.027310	10.200470	420.459293km	2859610
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.862850	9.505450	433.190969km	2859611
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.778880	10.825220	456.688682km	2859612
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.751620	12.202870	492.184360km	2859613
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.729360	12.264780	496.278294km	2859614
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.716670	7.816670	458.090761km	2859615
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.632210	11.003260	475.692460km	2859616
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.619720	11.324330	483.457466km	2859617
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.508270	12.102640	514.206066km	2859618
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.520220	11.374880	495.110502km	2859619
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.518950	10.471970	479.539948km	2859620
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.445380	10.729460	491.242347km	2859621
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.442780	9.992780	482.755002km	2859622
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.429960	11.428440	505.849024km	2859623
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.407160	9.590300	484.141365km	2859624
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.345070	10.296170	496.475687km	2859625
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.250000	9.983330	503.982895km	2859626
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.176430	11.371190	531.670828km	2859627
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.176010	10.630840	519.158884km	2859628
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.152870	12.762730	569.610253km	2859629
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.075830	10.996280	535.609173km	2859631
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.063180	11.499080	546.375187km	2859632
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.947240	12.019160	570.375579km	2859633
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.893210	9.545510	541.039288km	2859634
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.827040	8.277340	551.058468km	2859635
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.809600	13.558080	629.555297km	2859636
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.758890	12.131110	592.861008km	2859637
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.749890	13.520940	634.204340km	2859638
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.729930	13.641070	640.232151km	2859639
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.707460	12.657040	611.961581km	2859640
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.669180	10.867490	577.806728km	2859641
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.622080	13.009720	630.865131km	2859642
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.608920	12.031570	606.277927km	2859643
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.552610	12.639330	627.453473km	2859644
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.526470	8.929140	581.326450km	2859645
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.501430	13.124160	646.552811km	2859646
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.464510	12.606540	635.701655km	2859647
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.416330	13.105250	654.653149km	2859648
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.420260	12.505450	637.662579km	2859649
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.375100	11.215200	615.159933km	2859650
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.368100	12.368190	639.662375km	2859651
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.338450	11.541720	624.863313km	2859652
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.283620	12.863950	661.389347km	2859653
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.290500	8.572210	608.707031km	2859654
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.229380	12.022740	646.291780km	2859655
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.174100	12.134060	654.621223km	2859656
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.078600	11.996300	661.774720km	2859657
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	48.031090	12.088690	668.812914km	2859658
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	47.907370	12.377130	688.398202km	2859659
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	47.875370	12.848680	703.349851km	2859660
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	47.861110	9.144020	655.105936km	2859661
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.756180	11.125650	464.785801km	2859665
(63)<2>	EQ:	oberndorf am lech	P	oberndorf	49.865130	11.867040	471.032124km	9973169
(63)<2>	EQ:	oberndorf am lech	A	oberndorf	53.750000	9.150000	0.000000km	6552606
(63)<2>	EQ:	oberndorf am lech	A	oberndorf	49.706080	7.815780	459.259033km	6554973
(0)<0>	No match: kernen
(5)<1>	EQ:	furstenau	A	fuerstenau	52.507400	7.682100	403.763321km	6557480
(1)<0>	EQ:	ueckermunde	P	ueckermuende	53.737950	14.044730	0.000000km	2820471
(1)<0>	EQ:	kussaberg	P	kuessaberg	47.588570	8.304700	0.000000km	11186019
(3)<0>	EQ:	selters(westerwald)	P	selters	50.532530	7.755770	0.000000km	2833138
(3)<0>	EQ:	selters(westerwald)	P	selters	50.516810	8.289530	37.890535km	2833139
(3)<0>	EQ:	selters(westerwald)	P	selters	50.340420	9.034710	93.339590km	2833140
(7)<3>	EQ:	kirchheim bei munchen	P	kirchheim	49.380700	8.664950	0.000000km	2890483
(7)<3>	EQ:	kirchheim bei munchen	P	kirchheim	50.883330	11.016670	237.061078km	2890484
(7)<3>	EQ:	kirchheim bei munchen	P	kirchheim	50.833330	9.566670	173.974465km	2890485
(7)<3>	EQ:	kirchheim bei munchen	P	kirchheim	50.605520	6.835720	189.104465km	2890486
(7)<3>	EQ:	kirchheim bei munchen	P	kirchheim	49.656070	9.857830	91.643479km	2890487
(7)<3>	EQ:	kirchheim bei munchen	P	kirchheim	48.174900	10.474610	188.855973km	2890488
(7)<3>	EQ:	kirchheim bei munchen	P	kirchheim	48.041860	12.779670	337.376001km	2890489
(7)<3>	EQ:	kirchheim bei munchen	A	kirchheim	50.883300	11.016700	237.060284km	6550211
(7)<3>	EQ:	kirchheim bei munchen	A	kirchheim	50.833330	9.572550	174.130817km	6553256
(7)<3>	EQ:	kirchheim bei munchen	A	kirchheim	49.650000	9.866670	92.030171km	6557088
(1)<0>	EQ:	bad duben	P	bad dueben	51.591740	12.584920	0.000000km	2953524
(1)<0>	EQ:	bad soden-salmunster	P	bad soden-salmuenster	50.275740	9.367050	0.000000km	2953338
(2)<1>	EQ:	lutjenburg	A	luetjenburg	54.298130	10.582520	0.829208km	6557350
(2)<1>	IN:	bad munder	A	bad muender am deister	52.197550	9.449950	1.001127km	6557415
(1)<0>	EQ:	hohr-grenzhausen	P	hoehr-grenzhausen	50.434740	7.669030	0.000000km	2900825
(1)<0>	EQ:	hunxe	P	huenxe	51.634050	6.697410	0.000000km	2897283
(1)<0>	EQ:	konigstein im taunus	P	koenigstein im taunus	50.179430	8.471320	0.000000km	2885760
(1)<0>	EQ:	horstel	P	hoerstel	52.297630	7.583820	0.000000km	2898603
(1)<0>	EQ:	bodenwohr	P	bodenwoehr	49.270820	12.301460	0.000000km	2947090
(1)<0>	EQ:	loningen	P	loeningen	52.736780	7.758090	0.000000km	2875987
(0)<1>	No match:	korntal-munchingen	A	korntal-muenchingen	48.831390	9.122340	444.954558km	6557968
(1)<0>	IN:	ubach-palenberg	P	uebach-palenberg	50.917750	6.123360	0.000000km	2820621
(1)<0>	EQ:	muncheberg	P	muencheberg	52.507040	14.137160	0.000000km	2867723
(1)<0>	EQ:	bruchkobel	P	bruchkoebel	50.178530	8.923150	0.000000km	2943573
(1)<0>	EQ:	muhlheim am main	P	muhlheim	48.860310	10.992160	0.000000km	2867987
(1)<0>	EQ:	lubben	P	luebben	51.938140	13.888260	0.000000km	2875625
(1)<0>	IN:	bad wunnenberg	P	wuennenberg	51.520020	8.699340	0.000000km	2805785
(1)<0>	EQ:	karlstadt am main	P	karlstadt	49.960340	9.772390	0.000000km	2892786
(3)<1>	EQ:	winsen an der aller	A	winsen	53.833300	10.016700	0.003879km	6552157
(3)<1>	EQ:	budingen	A	buedingen	50.280470	9.096930	93.721719km	6557768
(1)<0>	IN:	georgsmarienhutte	P	georgsmarienhuette	52.202960	8.044800	0.000000km	2921242
(1)<0>	IN:	frondenberg	P	froendenberg	51.475630	7.769460	0.000000km	2924206
(1)<0>	EQ:	rosrath	P	roesrath	50.895590	7.181750	0.000000km	2844862
(1)<0>	EQ:	bad schonborn	P	bad schoenborn	49.201220	8.641790	0.000000km	2881134
(7)<0>	EQ:	mulheim-karlich	P	muelheim	51.432180	6.879670	0.000000km	2867838
(7)<0>	EQ:	mulheim-karlich	P	muelheim	51.492800	8.286400	97.995060km	2867840
(7)<0>	EQ:	mulheim-karlich	P	muelheim	50.713440	6.738810	80.566716km	2867841
(7)<0>	EQ:	mulheim-karlich	P	muelheim	50.448870	6.683060	110.259728km	2867842
(7)<0>	EQ:	mulheim-karlich	P	muelheim	50.383330	7.500000	124.570773km	2867843
(7)<0>	EQ:	mulheim-karlich	P	muelheim	49.912520	7.019490	169.338602km	2867844
(7)<0>	EQ:	mulheim-karlich	P	muelheim	50.966390	7.003840	52.541864km	8593865
(1)<0>	EQ:	lubbecke	P	luebbecke	52.306990	8.614230	0.000000km	2875626
(1)<0>	EQ:	bersenbruck	P	bersenbrueck	52.551600	7.948360	0.000000km	2949906
(1)<0>	EQ:	kolleda	P	koelleda	51.187450	11.244880	0.000000km	2886363
(0)<1>	No match:	grunhain-beierfeld	A	gruenhain-beierfeld	50.566700	12.800000	129.413317km	6548582
(1)<0>	EQ:	visselhovede	P	visselhoevede	52.985460	9.582650	0.000000km	2817130
(1)<0>	EQ:	konigswinter	P	koenigswinter	50.683760	7.186750	0.000000km	2885734
(1)<0>	EQ:	morfelden-walldorf	P	moerfelden-walldorf	49.994720	8.583610	0.000000km	3272460
(1)<0>	EQ:	wurselen	P	wuerselen	50.818090	6.134700	0.000000km	2805644
(7)<0>	EQ:	mulheim	P	muelheim	51.432180	6.879670	0.000000km	2867838
(7)<0>	EQ:	mulheim	P	muelheim	51.492800	8.286400	97.995060km	2867840
(7)<0>	EQ:	mulheim	P	muelheim	50.713440	6.738810	80.566716km	2867841
(7)<0>	EQ:	mulheim	P	muelheim	50.448870	6.683060	110.259728km	2867842
(7)<0>	EQ:	mulheim	P	muelheim	50.383330	7.500000	124.570773km	2867843
(7)<0>	EQ:	mulheim	P	muelheim	49.912520	7.019490	169.338602km	2867844
(7)<0>	EQ:	mulheim	P	muelheim	50.966390	7.003840	52.541864km	8593865
(1)<0>	IN:	huckelhoven	P	hueckelhoven	51.055500	6.226580	0.000000km	2898111
(1)<0>	EQ:	markranstadt	P	markranstaedt	51.301460	12.220200	0.000000km	2873331
(1)<0>	EQ:	luneburg	P	lueneburg	53.250900	10.414090	0.000000km	2875115
