79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(1)<0>	EQ:	neidenbach	P	neidenbach	50.100000	6.550000	0.000000km	2866611
(1)<0>	EQ:	falkenfels	P	falkenfels	49.004150	12.594800	0.000000km	2927984
(3)<0>	EQ:	bottendorf	P	bottendorf	52.764810	10.587040	0.000000km	2945776
(3)<0>	EQ:	bottendorf	P	bottendorf	51.304880	11.402850	171.817156km	2945777
(3)<0>	EQ:	bottendorf	P	bottendorf	51.027510	8.812570	228.644415km	2945778
(1)<0>	EQ:	wustermark	P	wustermark	52.550000	12.950000	0.000000km	2805480
(1)<0>	EQ:	gusenburg	P	gusenburg	49.633330	6.900000	0.000000km	2913478
(1)<0>	EQ:	ederheim	P	ederheim	48.808270	10.466090	0.000000km	2933385
(1)<0>	EQ:	grossbettlingen	P	grossbettlingen	48.590520	9.307820	0.000000km	2916972
(0)<0>	No match: mulheim (moselle)
(0)<0>	No match: frickenhausen am main
(1)<0>	EQ:	dolgesheim	P	dolgesheim	49.794440	8.256940	0.000000km	2936403
(1)<0>	EQ:	grabenstetten	P	grabenstetten	48.523970	9.461550	0.000000km	2918431
(1)<0>	EQ:	kleinmachnow	P	kleinmachnow	52.407860	13.225140	0.000000km	2888523
(1)<0>	EQ:	bodman-ludwigshafen	P	bodman-ludwigshafen	47.818170	9.055400	0.000000km	3205645
(1)<0>	EQ:	bad berka	P	bad berka	50.899820	11.282450	0.000000km	2953548
(3)<0>	EQ:	franken	P	franken	50.501240	7.234610	0.000000km	2925655
(3)<0>	EQ:	franken	P	franken	50.091180	11.923680	337.156970km	2925656
(3)<0>	EQ:	franken	P	franken	48.769070	12.373850	418.125955km	2925657
(1)<0>	EQ:	walluf	P	walluf	50.040030	8.155450	0.000000km	3208134
(1)<0>	EQ:	fintel	P	fintel	53.171880	9.669690	0.000000km	2926667
(1)<0>	EQ:	hopferau	P	hopferau	47.616670	10.633330	0.000000km	2899202
(1)<0>	EQ:	stamsried	P	stamsried	49.267550	12.530510	0.000000km	2829569
